Pruning Ratio,3d obj Acc@1,3d rel Acc@1,3d triplet Acc@50
0.0,51.02,82.73,86.95
0.05,35.321,78.464,80.474
0.1,27.65,78.115,77.872
0.15,23.119,77.926,75.569
0.2,28.219,75.485,76.013
0.25,24.974,77.765,76.29
0.3,17.977,78.734,75.433
0.35,18.061,77.034,75.609
0.4,19.663,78.811,76.801
0.45,19.262,79.322,76.947
0.5,18.462,79.622,76.853
0.55,18.714,79.022,76.538
0.6,19.578,78.605,76.015
0.65,27.018,77.993,76.052
0.7,27.439,77.522,76.357
0.75,27.945,77.195,76.959
0.8,27.987,76.63,77.351
0.85,28.303,78.333,76.816
0.9,29.652,77.839,76.474
0.95,29.884,77.222,74.924
